event_date,year,assoc_actor_1,assoc_actor_2,admin1,admin2,location,latitude,longitude,source,notes,fatalities,tags
02 March 2024,2024,Arab Ethnic Group (United States); Jewish Group (United States); Muslim Group (United States); Palestinian Group (United States); PYM: Palestinian Youth Movement,,California,San Francisco,San Francisco,37.7793,-122.4193,ABC7 (San Francisco); Indybay; KRON4; Left Coast Right Watch,"On 2 March 2024, hundreds to thousands of pro-Palestinian demonstrators marched to the Israeli consulate on Montgomery Street in San Francisco (California) to show support for Palestine and demand a ceasefire in Gaza and an end to U.S. support for Israel amid the Israel-Hamas war which began in October 2023. The march was joined by Muslims, Jews, the Arab Resource and Organizing Center (AROC), and the Palestinian Youth Movement (PYM). At the police barricade in front of the consulate, police claimed demonstrators engaged in assault, felony vandalism, and property damage, while demonstrators claimed police attacked them with pepper spray and batons. Video of the demonstration appeared to show police pepper spraying demonstrators at a distance and striking them with batons over a police barricade.",0,crowd size=hundreds to thousands
26 February 2024,2024,Students (United States),,California,Alameda,Berkeley,37.8715,-122.273,Berkeleyside; It's Going Down; KQED; San Francisco Chronicle,"On 26 February 2024, about 200 pro-Palestinian students and supporters chanting 'long live the Intifada' demonstrated outside Zellerbach Playhouse at the University of California in Berkeley (California) to demand an end to the 'occupation' of Palestine and to shut down a speech inside by an Israeli lawyer amid the Israel-Hamas war which began in October 2023. The demonstration was organized by Bears for Palestine. The demonstrators broke down the door to the building, broke windows, and allegedly harassed several Jewish attendees with antisemitic slurs.",0,crowd size=about 200
17 February 2024,2024,Eritrean Group (United States),,North Carolina,Mecklenburg,Charlotte,35.2274,-80.8431,Channel 9 (Charlotte); Charlotte Observer; Fox News; Herald (Rock Hill); News & Observer; Post Millennial; WBTV; WCNC Charlotte,"On 17 February 2024, a group of up to 200 Eritrean-Americans gathered outside of a business that was holding an Eritrean cultural event in Charlotte (North Carolina). The event was supportive of the Eritrean government, while the demonstrators were opposed to Eritrean President Isaias Afwerki. Police responded to the demonstration, which was deemed unlawful, and ordered demonstrators to disperse, attempting to move demonstrators out of the street. Demonstrators pushed back at police and some threw objects at officers who then used pepper spray. Rioters also set a tractor on fire. A total of 8 people were arrested on charges that include disorderly conduct, failure to disperse, assault on a government employee, and carrying a concealed weapon.",0,armed; crowd size=up to 200
23 December 2023,2023,PYM: Palestinian Youth Movement; Palestinian Group (United States),,California,San Francisco,San Francisco,37.7793,-122.4193,KTVU Fox2; NBC Bay Area,"On 23 December 2023, hundreds of pro-Palestinian demonstrators marched to Union Square in San Francisco (California) to demand a permanent ceasefire in Gaza amid the Israel-Hamas war which began in October 2023 and to call for an end to Israel's 'genocide.' Local police arrested 4 or 6 demonstrators for 'felony vandalism, assault and battery on a police officer' while the organizers stated it was a peaceful demonstration. Video footage from the demonstration showed a police car with a smashed window and appeared to show a demonstrator being arrested for breaking it. Demonstrators, organized by the PYM, later rallied outside the SF County Jail to demand the release of the arrested demonstrators.",0,crowd size=hundreds
29 November 2023,2023,Within Our Lifetime; Palestinian Group (United States),,New York,New York,New York - Manhattan,40.7834,-73.9663,CBS News; PIX11; Post Millennial; Protest_NYC,"On 29 November 2023, more than 1000 pro-Palestinian demonstrators and members of Within Our Lifetime disrupted the Christmas tree lighting at Rockefeller Center in New York - Manhattan (New York) to call for a ceasefire, an end to bombing and what they called a 'siege' and 'genocide' in Gaza in the wake of renewed fighting between Israel and Hamas. Rioters broke through police barricades and fought with the police with their fists at 47th street, and the NYPD arrested 7 people. One person was charged with criminal mischief and 5 people were charged with obstructing government administration. One person attended with a poster describing Israeli armed forces with a swastika, but the demonstrators pushed him out of the rally.",0,crowd size=more than 1000
20 November 2023,2023,Students (United States),,New York,Queens,New York - Queens,40.7308,-73.7958,ABC7 (New York); NBC4 New York; New York Post,"On 20 November 2023, approximately 400 students held a pro-Palestinian walkout and rioted at Hillcrest High School in Jamaica in New York - Queens (New York) to support Palestine and to demonstrate against their teacher's Facebook picture in support of Israel in the wake of renewed fighting between Israel and Hamas. Students destroyed a water fountain in the hallway and shattered tiles of a male bathroom on the second floor.",0,crowd size=approximately 400
14 November 2023,2023,Chinese Group (United States); Asian American Group (United States); Rioters (China),,California,San Francisco,San Francisco,37.7793,-122.4193,Mission Local,"On 14 November 2023, hundreds of Chinese-Americans and Chinese nationals and supporters demonstrated outside the St. Regis Hotel in downtown San Francisco (California) to show support for Chinese President Xi Jinping as he attended the Asia-Pacific Economic Cooperation (APEC) leaders' conference. At one point, a handful of demonstrators wearing Chinese Communist Party pins blocked and pushed to the ground a Chinese civilian denouncing the Chinese President for 'political prosecution' of her father, who died in prison. Police escorted the civilian away to receive medical attention.",0,crowd size=hundreds
10 November 2023,2023,Palestinian Group (United States),Protesters (United States),New York,New York,New York - Manhattan,40.7834,-73.9663,New York Post; PIX11,"On 10 November 2023, thousands of pro-Palestinian demonstrators and members of the Palestinian community rallied at Columbus Circle in New York - Manhattan (New York) to demand 'free Palestine,' an end to U.S. military aid to Israel, and a ceasefire in the wake of renewed fighting between Israel and Hamas. Pro-Israel demonstrators countered the demonstration and supported Israel. Police arrested 6 people for disorderly conduct, juvenile charges, and assaulting a police officer. Demonstrators also set fire to an Israel flag and tore down other flags. There was a pro-Israel demonstration and a separate pro-Palestine demonstration on the same day but these demonstrations did not overlap.",0,counter-demonstration; crowd size=thousands
30 October 2023,2023,,,Massachusetts,Middlesex,Cambridge,42.3736,-71.1097,Boston Globe; CBS News; It's Going Down,"On 30 October 2023, about 200 demonstrators held a pro-Palestinian rally in front of Elbit Systems, an Israeli construction company, on Bishop Allen Drive in Cambridge (Massachusetts) to oppose Israel's actions in the wake of renewed fighting between Israel and Hamas. Demonstrators broke through the police barriers, vandalized the business, and threw smoke pellets, eggs, and other items at the police officers. Police officers used pepper spray on demonstrators. Nine demonstrators were arrested.",0,crowd size=about 200
21 October 2023,2023,Arab Ethnic Group (United States); Palestinian Group (United States); Government of the United States (2021-); DEM: Democratic Party,,Illinois,Cook,Chicago - Central,41.8757,-87.6243,CBS News; Chicago Tribune,"On 21 October 2023, thousands of pro-Palestinian demonstrators rallied at the corner of Michigan Avenue and Ida B. Wells Drive in downtown Chicago - Central (Illinois) to call for support for Palestine and an end to US support for Israel in the wake of renewed fighting between Israel and Hamas. The rally was joined by city Alderwoman Rossana Rodriguez-Sanchez (D) and Palestinian and Egyptian Americans. Demonstrators burnt tires during the demonstration. The police arrested at least one person.",0,crowd size=thousands
